,n_cells_by_counts,mean_counts,pct_dropout_by_counts
NPHP4,177,0.03392107472712007,97.02770780856423
KCNAB2,320,0.06280436607892527,94.62636439966414
CHD5,2,0.00033585222502099076,99.9664147774979
RPL22,3677,5.634424853064652,38.25356842989085
RNF207-AS1,7,0.0011754827875734676,99.88245172124265
RNF207,41,0.007892527287993284,99.31150293870697
ICMT,906,0.24567590260285474,84.78589420654912
LINC00337,7,0.0011754827875734676,99.88245172124265
HES3,0,0.0,100.0
GPR153,381,0.08295549958018472,93.60201511335012
ACOT7,584,0.17212426532325778,90.19311502938707
RP1-202O8.3,13,0.00218303946263644,99.78169605373635
HES2,248,0.0658270361041142,95.83543240973972
ESPN,210,0.05877413937867338,96.4735516372796
RP1-202O8.2,0,0.0,100.0
TNFRSF25,496,0.13954659949622167,91.67086481947942
PLEKHG5,427,0.12308984047019311,92.82955499580184
NOL9,544,0.11821998320738875,90.86481947942904
TAS1R1,0,0.0,100.0
ZBTB48,218,0.04147774979009236,96.3392107472712
KLHL21,598,0.17732997481108312,89.95801847187238
PHF13,289,0.061460957178841306,95.14693534844668
THAP3,230,0.04416456759026029,96.1376994122586
DNAJC11,578,0.1462636439966415,90.29387069689336
LINC01672,0,0.0,100.0
RP11-242F24.2,0,0.0,100.0
CAMTA1-DT,10,0.00218303946263644,99.8320738874895
CAMTA1,802,0.19899244332493704,86.53232577665827
RP11-334N17.1,0,0.0,100.0
CAMTA1-IT1,5,0.0008396305625524769,99.91603694374476
CAMTA1-AS2,0,0.0,100.0
CAMTA1-AS1,2,0.00033585222502099076,99.9664147774979
RP11-338N10.1,0,0.0,100.0
RP11-338N10.2,2,0.00033585222502099076,99.9664147774979
RP11-338N10.3,7,0.0011754827875734676,99.88245172124265
VAMP3,1019,0.29907640638119226,82.88832913518051
RP3-467L1.6,7,0.001343408900083963,99.88245172124265
PER3,641,0.15180520570948783,89.23593618807725
RP3-467L1.4,0,0.0,100.0
UTS2,3,0.0006717044500419815,99.94962216624685
TNFRSF9,47,0.008900083963056256,99.21074727120067
PARK7,1739,0.747774979009236,70.79764903442485
CTA-215D11.6,3,0.0005037783375314861,99.94962216624685
CTA-215D11.5,3,0.0005037783375314861,99.94962216624685
ERRFI1,505,0.12073887489504619,91.51973131821998
RP11-431K24.1,3,0.0005037783375314861,99.94962216624685
LINC01714,0,0.0,100.0
RP11-431K24.4,0,0.0,100.0
SLC45A1,23,0.004030226700251889,99.61376994122585
RERE,871,0.19848866498740556,85.37363560033585
RERE-AS1,10,0.0016792611251049538,99.8320738874895
RP4-633I8.4,0,0.0,100.0
ENO1,3305,3.3358522250209908,44.500419815281276
ENO1-AS1,14,0.0025188916876574307,99.7649034424853
CA6,160,0.0686817800167926,97.31318219983207
SLC2A7,2,0.00033585222502099076,99.9664147774979
SLC2A5,63,0.011922753988245173,98.94206549118388
GPR157,408,0.10646515533165407,93.1486146095718
MIR34AHG,48,0.008564231738035265,99.19395465994963
LNCTAM34A,26,0.00436607892527288,99.56339210747271
H6PD,736,0.16607892527287993,87.64063811922755
SPSB1,375,0.07942905121746431,93.70277078085643
CTD-2510L9.2,1,0.00016792611251049538,99.98320738874895
LINC02606,17,0.003022670025188917,99.71452560873216
RP13-392I16.1,0,0.0,100.0
SLC25A33,155,0.029554995801847186,97.39714525608733
TMEM201,178,0.03526448362720403,97.01091519731318
PIK3CD,322,0.06801007556675064,94.59277917716204
PIK3CD-AS1,1,0.00016792611251049538,99.98320738874895
PIK3CD-AS2,56,0.011754827875734676,99.05961376994122
CLSTN1,1346,0.5717884130982368,77.39714525608731
CTNNBIP1,1183,0.7828715365239295,80.13434089000839
RP11-84A14.5,2,0.00033585222502099076,99.9664147774979
RP11-84A14.8,0,0.0,100.0
LZIC,729,0.16910159529806884,87.75818639798489
RP11-84A14.4,18,0.0033585222502099076,99.6977329974811
NMNAT1,159,0.029722921914357683,97.32997481108312
RP11-807G9.2,0,0.0,100.0
RBP7,507,0.1420654911838791,91.48614609571788
UBE4B,605,0.1373635600335852,89.84047019311502
KIF1B,900,0.22283795130142736,84.88664987405541
RP4-736L20.4,1,0.00016792611251049538,99.98320738874895
RP4-736L20.5,37,0.00654911838790932,99.37867338371117
PGD,1046,0.33518052057094877,82.43492863140219
RP4-736L20.3,1,0.00016792611251049538,99.98320738874895
